标题,标签,小区,地段,价格(万),单价,户型,面积,朝向,装修,楼层,年份,形式,关注人数,分布日期,交通,VR,房本,看房时期
世纪星城 带电梯复式 楼上没算面积 适合三代人居住,必看好房,世纪星城 ,通州北苑,550,"59,653元/平",4室2厅 , 92.2平米 , 南 北 , 简装 , 高楼层(共10层) , 2005年建 , 板楼,134人关注 , 2个月以前发布,,VR房源,房本满五年,随时看房
长城国际东向小户型，随时可看，业主诚心出售,必看好房,长城国际 ,通州北苑,183,"37,717元/平",1室1厅 , 48.52平米 , 东 西 , 精装 , 22层 , 2009年建 , 塔楼,8人关注 , 8天以前发布,,VR房源,房本满五年,随时看房
四环边，首开华润城，精装修南北三居室,必看好房,首开华润城 ,科技园区,990,"88,559元/平",3室1厅 , 111.79平米 , 南 北 , 精装 , 中楼层(共9层) , 2018年建 , 板楼,30人关注 , 1个月以前发布,近地铁,VR房源,房本满两年,
星河城西区近地铁，看房子方便视野好没有遮挡,必看好房,星河城西区 ,马家堡,1100,"79,584元/平",3室2厅 , 138.22平米 , 南 北 , 精装 , 中楼层(共11层) , 2006年建 , 板楼,22人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
朝阳公园 东风家园 东南三居室 满五年唯一,必看好房,东风家园 ,朝阳公园,650,"69,870元/平",3室1厅 , 93.03平米 , 东南 , 简装 , 高楼层(共18层) , 2000年建 , 塔楼,8人关注 , 5天以前发布,近地铁,VR看装修,房本满五年,随时看房
运河商务区 五河交汇处 满五唯一 南北通透三居,必看好房,京贸国际城 ,武夷花园,820,"59,676元/平",3室2厅 , 137.41平米 , 南 北 , 精装 , 36层 , 2011年建 , 板塔结合,1人关注 , 3天以前发布,,VR房源,房本满五年,随时看房
北二环东城区05年小区有电梯高楼层三居室双卫,必看好房,西营房 ,安定门,1090,"106,435元/平",3室1厅 , 102.41平米 , 北 西 西南 , 精装 , 高楼层(共19层) , 2006年建 , 塔楼,7人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
木樨园8号线 精装修南北通透三居室  交通方便,必看好房,南木樨园 ,木樨园,408,"59,476元/平",3室1厅 , 68.6平米 , 南 北 , 精装 , 中楼层(共5层) , 1986年建 , 板楼,2人关注 , 7天以前发布,近地铁,VR看装修,房本满两年,随时看房
卧龙小区眼镜户型三居双卫，满五年唯一，采光视野好,必看好房,卧龙小区 ,亚运村,899,"90,616元/平",3室2厅 , 99.21平米 , 南 北 , 简装 , 高楼层(共7层) , 1997年建 , 板楼,7人关注 , 2天以前发布,近地铁,VR房源,房本满五年,随时看房
三环边，正对小区花园三居室 有车位 满五唯一,必看好房,世纪星家园 ,宋家庄,800,"66,176元/平",3室1厅 , 120.89平米 , 东南 , 精装 , 中楼层(共29层) , 2003年建 , 板塔结合,4人关注 , 4天以前发布,近地铁,VR看装修,房本满五年,随时看房
长阳半岛怡和路6号院 3室2厅 南 北,必看好房,长阳半岛怡和路6号院 ,长阳,700,"50,040元/平",3室2厅 , 139.89平米 , 南 北 , 精装 , 高楼层(共9层) , 2015年建 , 板楼,6人关注 , 4天以前发布,近地铁,VR看装修,房本满五年,随时看房
